Unique_Skills
.NET
".Ney(VB, ASP)"
10key by touch
15+ years of experience in Accounting & Bookkeeping Services
2-Tier
2000
2K
3D modeling
3D printing
3d
3ds Max
3dsMax
5 why
5S
5S expert
8D
A highly motivated and energetic personality.
"A monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, and identifies and resolves errors, omissions, and irregularities to provide accurate records for TFCU and its service organizations"
A+
A/P
A/p
A/r
AAA Security Model
AARDWOLF
ADP
ADP Ezlabor
ADP Payroll
"ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems"
ADTRAN
AIA
ANN
ANOVA
ANSYS
AP
API
API Design
APQP
AR
AS 400
AS400
ASP
ASP.NET
ASP.NET 4.5
ASSIST
ASTM Material testing and chemical evaluations of materials
ATL
ATM
AWS
AWS Lambda
AWS Texualizer
AWS VIEW
AWS deployment
"AWS(EMR,EC2,S3)"
Abila MIP Fund Accounting Software
Ability of managing multi tasks
Ability to lead and motivate a team
Ability to make decisions and solve problems
Ability to prioritize
Ability to stand and walk for hours at time.
Ability to take initiative and exhibit flexibility.
Ability to translate technical specifications
Ability to work in a team structure
Academic
Access
Access Control
Access Database
Access Database Queries & data mining
Account Management
Account Reconciliation
Account Reconciliation Processes
Account Reconciliations
Account management
Account management and development
Account reconciliation
Account reconciliation expert
Account reconciliations
Accountable For
Accountant
Accounting
Accounting Software
Accounting Software: PeopleSoft / QuickBooks
Accounting System
Accounting Systems
Accounting operations
Accounting operations professional
Accounting packages
Accounts And
Accounts For
Accounts Payable
Accounts Payable & Receivable
Accounts Payable/Accounts Receivable
Accounts Payables
Accounts Receivable
Accounts Receivable Accounts Payable
Accounts Receivables
Accounts and Group policy
Accounts payable
Accounts receivable professional
Accounts receivables
Accruals
Acronis True Image
Act!
Active Directory
Active Learning
Active Noise Cancelling (ANC)
Ad
Ad hoc
Adapt to new technology at an accelerated rate
Adaptability
Adc
Aderant/CMS
Adjustments
Administration of Windows 2000 Server
Administrative
Administrative Assistant
Administrative Manager
Administrative Support
Administrative support
"Administrative: Microsoft Office Suite, Concur"
Adobe
Adobe Acrobat
Adobe Analytics
Adobe Captivate
Adobe Creative Suite
Adobe Dreamweaver
Adobe Illustrator
Adobe Indesign
Adobe Photoshop
Adt
Advanced Excel
Advanced Presentation
Advanced anatomy knowledge
Advanced bookkeeping skills
Advanced computer proficiency (PC and Mac)
Advanced critical thinking
Advanced data analytics
Advanced engineering knowledge
Advanced knowledge of embedded systems
Advanced manufacturing
Advanced material selection for rapid prototyping
Advanced problem solving abilities
Advanced utilization Microsoft Office Suite
Advertising
Affirmative Action compliance
Agency
Agile
Agile Methodologies
Agile Methodology
Agile coach
Air Force
Algebra
Algore FEA
Algorithm Design
Algorithm Development
Algorithm Optimization
Algorithm development
Algorithms
Algorithms and data structures
Allen Bradley RSLogix
"Along with other Finance Department staff, processes outgoing and incoming wires, verifies those wires have all required documentation, and works with branch staff to ensure incoming wires are posted and resolve issues"
Alteryx
Amazon Redshift
Anaconda
Analog and Digital Filter design
Analog and digital circuitry
Analysis
"Analysis (Linear & Non-linear Static, Dynamic, GD & T, Tolerance Analysis, Design Optimization)"
Analysis of Algorithms
Analysis of financial systems
Analyst
Analytical
Analytical Process Improvement
Analytical Thinking
Analytical and business acumen
Analytical and logical
Analytical reasoning
Analytical skills
Analytics
Analyzing market trends
And Account
And Humidity
And Marketing
Android
AngularJS
Annuities
Anova
Ansys
Antivirus
Anytime Scheduler
Apache hive
Apache pig
Api
App development (Android and iOS)
AppFolio
Apple
Apple Lion
Apple computers
Application Analysis
Application Development
Application Programming
Application Support
"Applications: MS Office 2010-2016 (Word, Excel, PowerPoint, Outlook), Google Apps (Drive, Docs, Sheets, Slides, Keep, Forms, Sites), Google Drive Sync Client, Internet Explorer, Firefox, Chrome, Safari, Edge, OpenVPN, Wireshark, Sublime Text, MSRA, Microsoft RDP, OpenSSH, Puppet, SCCM 2012 iOS-MDM"
Applied Machine Learning
Approach
Apqp
Arabic
"Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm"
Aramark service trained on GE AMX 4 and AMX4+ portable XR unit
Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system
Arc Flash
ArcView
Architecting best practice technical solutions
Architecture
Arduino
Arduino IDE
Army
Articulate
Artificial Intelligence
Artificial intelligence
As400
Ascertain accuracy of financial reporting
Aspen
Assemble/disassemble PCs and electronics to the component level
Assembly
"Assembly (Intel, Motorola, TI)"
Asset Keeper Pro Software
"Assisted the CFO with the production of the monthly financials, management reports and board packages."
Assurance Analyst
Assured internal controls
Atlas
Attention to detail
Audience
Audio
Audio Editing
Audit
Audit Report
Audits
Author
Auto CAD
Auto-Cad
AutoCAD
AutoCad
Autocad Civil 3D
Automated Payroll
Automated Test Scripts
Automated Testing
Automation
Automation Design
Automation tools - Design and Implement
Aviation
Azure
Azure Data Factory
Azure Databricks
B2c
BASIC
BERT
BGP
BI360 (BusinessIntelligence Tool)
Back End
Backend
Backup
Balance
Balance Sheet
Balance Sheets
Balance sheet
Balanced
Bank Reconciliation
Bank Reconciliations
Bank reconciliations
Bank reconciliations and General Ledger expertise
Bank reconciliations and balancing
Banking
Base SAS
Bash
Basic
Basic and Advanced Supervision Training Courses
Basic financial and operational reporting
Basic knowledge of Microsoft PowerPoint and Excel
Basic processor design
Basis
BeRT
BeRT Modelling
Benefits
Bi
Big Data
Big Data Analytics
"Bilingual Spanish (fluent; speak, read, and write)"
Billing
Billings
Biotechnology
Black Box
Black Box Testing
Blackboard
Bluebeam
Bluehill testing software
Blueprint understanding
Bonds
Book
Bookkeeper
Bookkeeping
Bootstrap
Bounded Rationality
Bounding Algorithms
Brake repair and replacement
Brake systems expertise
Brand development
Branding
Browser Support
Budget
Budget 5
Budget Management
Budget Planning
Budget Preparation
Budget analysis
Budget development
Budget forecasting expertise
Budget preparation
Budgetary and Policy Development
Budgeting
Budgets
Building commissioning experience
Business Administration
Business Analysis
Business Analyst
Business Analytics
Business Associate
Business Consulting
Business Development
Business Development & Sales Leadership
Business Growth
Business Intelligence
Business Management
Business Objects
Business Process Improvement
Business Process Management
Business Requirements
Business Solutions
Business Strategy
Business Systems
Business Writing
Business analyst
Business and commercial acumen
Business and requirements analysis
Business consultant/Advisor
Business development
Business intelligence
Business process improvement
Business systems analysis
Business to Business
Business to Customer
Business writing
C
C Programming
C languages
C programming
C#
C++
C/C++
C/Python
CA
CAD
"CAD packages (SolidWorks, Autodesk Inventor, AutoCAD, CATIA, PTC CREO)"
"CAE Softwares (HyperMesh, Abaqus, ANSYS, Optistruct)"
CATBoost
CATIA
CBMET
CCNA
CCP
CD-ROM
CD-ROMs
CDI
CIP
CLI
CLI Knowledge
CMPro
CMS
CNA certificate
CNC
CNC engineering
CNN
CNNs
COBOL
COM
CPA
CPR & First Aid Certified
CPR certified
